?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBls_0000656>	"The time period encompassing the 545th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000258>	"The time period encompassing the 147th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000737>	"L4 larvae that develop from L3 larvae in the mammalian host."	
<http://purl.obolibrary.org/obo/WBls_0000332>	"The time period encompassing the 221st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000610>	"The time period encompassing the 499th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000586>	"The time period encompassing the 475th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000391>	"The time period encompassing the 280th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000593>	"The time period encompassing the 482nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000641>	"The time period encompassing the 530th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000696>	"The time period encompassing the 650th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000717>	"A larval stage of some cestodes, including Hymenolepis sp. The cysticercoid is a type of cyst that is found in free form as well as being tissue-enclosed."	
<http://purl.obolibrary.org/obo/WBls_0000323>	"The time period encompassing the 212nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000808>	"A C. elegans life stage that occurs during the 3-fold embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000163>	"The time period encompassing the 52nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000588>	"The time period encompassing the 477th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000580>	"The time period encompassing the 469th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000671>	"At 20 Centigrade: 7-8 days after L4-adult molt. 10-11 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000576>	"The time period encompassing the 465th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000384>	"The time period encompassing the 273rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000817>	"A C. elegans life stage that occurs during the larval life stage"	
<http://purl.obolibrary.org/obo/WBls_0000585>	"The time period encompassing the 474th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000249>	"The time period encompassing the 138th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000046>	"A special second stage larva with altered physiology and developmental potential that leads to formation of dauer larva. At 25 Centigrade, it ranges 25.5-32.5 hours after fertilization, 11.5-18.5 hours after hatch."	
<http://purl.obolibrary.org/obo/WBls_0000651>	"The time period encompassing the 540th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000330>	"The time period encompassing the 219th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000308>	"The time period encompassing the 197th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000322>	"The time period encompassing the 211st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000376>	"The time period encompassing the 265th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000343>	"The time period encompassing the 232nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000571>	"The time period encompassing the 460th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000106>	"The first stage larva of nematodes."	
<http://purl.obolibrary.org/obo/BFO_0000023>	"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."@en	
<http://purl.obolibrary.org/obo/WBls_0000150>	"The time period encompassing the 39th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000099>	"Derived from the host after reintroduction by vector feeding or manual inoculation; these piL3 samples are often-should be conditioned by age (hours or days post-infection)."	
<http://purl.obolibrary.org/obo/WBls_0000685>	"The third sub-stage of the L4 larva. All vulval cells complete migration. vulA, vulC, and vulD undergo cell fusion. The vulval lumen has widened and a prominent kink has formed between vulC and vulD. The uterine lumen has not started to form. At 20 Centigrade: 36.8 hours after hatching, 2.8 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000333>	"The time period encompassing the 222nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000703>	"The time period encompassing the 850th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000594>	"The time period encompassing the 483rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/BFO_0000019>		
<http://purl.obolibrary.org/obo/WBls_0000438>	"The time period encompassing the 327th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000426>	"The time period encompassing the 315th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000259>	"The time period encompassing the 148th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000052>	"The stage right after an animal recovered from dauer but has not started transformation to L4 larva yet."	
<http://purl.obolibrary.org/obo/WBls_0000482>	"The time period encompassing the 371st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000251>	"The time period encompassing the 140th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000312>	"The time period encompassing the 201st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000179>	"The time period encompassing the 68th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000229>	"The time period encompassing the 118th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000155>	"The time period encompassing the 44th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000124>	"The time period encompassing the 13rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000661>	"The time period encompassing the 550th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000598>	"The time period encompassing the 487th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000329>	"The time period encompassing the 218th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000082>	"The fourth stage larva. Should be conditioned by days post infection; as moulting is not synchronous, some samples are defined as L3/L4, indicating a mix of individuals as late L3, moulting, and early L4."	
<http://purl.obolibrary.org/obo/WBls_0000147>	"The time period encompassing the 36th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000275>	"The time period encompassing the 164th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000636>	"The time period encompassing the 525th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000178>	"The time period encompassing the 67th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000041>	"The stage that begins when a C.elegans individual is fully-developed and has reached maturity."	
<http://purl.obolibrary.org/obo/WBls_0000039>	"The stage during L4-adult molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old."	
<http://purl.obolibrary.org/obo/WBls_0000809>	"A C. elegans life stage that occurs during the bean embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000720>	"A dormant Digenean (fluke) life stage which occurs after cercariae are released from the intermediate snail host and encyst on vegetation until they are ingested by the definitive host."	
<http://purl.obolibrary.org/obo/WBls_0000208>	"The time period encompassing the 97th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000224>	"The time period encompassing the 113rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000556>	"The time period encompassing the 445th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000568>	"The time period encompassing the 457th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000064>	"At 20 Centigrade: 24-48 hours after L4-adult molt. 4-5 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000232>	"The time period encompassing the 121st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000480>	"The time period encompassing the 369th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000688>	"The sixth sub-stage of the L4 larva. The side of the vulval lumen between vulC and vulD forms a smooth curve. At 20 Centigrade: 40.4 hours after hatching, 6.4 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000297>	"The time period encompassing the 186th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000418>	"The time period encompassing the 307th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000067>	"At 20 Centigrade: 96-120 hours after L4-adult molt. 7-8 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000239>	"The time period encompassing the 128th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000173>	"The time period encompassing the 62nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000405>	"The time period encompassing the 294th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000689>	"The seventh sub-stage of the L4 larva. 'Fingers' between vulB2 and vulC are pointed ventrally. At 20 Centigrade: 41.5 hours after hatching, 7.5 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000223>	"The time period encompassing the 112nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000289>	"The time period encompassing the 178th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000056>	"The stage after an male animal is fully-developed and reaches maturity."	
<http://purl.obolibrary.org/obo/WBls_0000476>	"The time period encompassing the 365th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000566>	"The time period encompassing the 455th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000214>	"The time period encompassing the 103rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000206>	"The time period encompassing the 95th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
