?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBls_0000036>	"The stage during L3-L4 molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old."	
<http://purl.obolibrary.org/obo/WBls_0000375>	"The time period encompassing the 264th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000399>	"The time period encompassing the 288th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000578>	"The time period encompassing the 467th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000509>	"The time period encompassing the 398th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000028>	"The stage during L2-L3 molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old."	
<http://purl.obolibrary.org/obo/WBls_0000077>	"A Brugia microfilaria life stage in which larvae are surrounded by a membrane thought to be derived from the vitelline membrane, hence \"sheathed\"."	
<http://purl.obolibrary.org/obo/WBls_0000023>	"A developmental life stage of the nematode Caenorhabditis elegans that occurs from egg hatching until adulthood."	
<http://purl.obolibrary.org/obo/WBls_0000313>	"The time period encompassing the 202nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000105>	"The stage that begins after hatching and ends when the nematode becomes adult."	
<http://purl.obolibrary.org/obo/WBls_0000367>	"The time period encompassing the 256th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000210>	"The time period encompassing the 99th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000432>	"The time period encompassing the 321st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000349>	"The time period encompassing the 238th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000548>	"The time period encompassing the 437th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000536>	"The time period encompassing the 425th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000705>	"The egg stage of the Platyhelminthes life cycle. The stage ends upon hatching."	
<http://purl.obolibrary.org/obo/WBls_0000667>	"Microfilaria larvae found in nodules and ulcers."	
<http://purl.obolibrary.org/obo/WBls_0000466>	"The time period encompassing the 355th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000152>	"The time period encompassing the 41st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000698>	"The time period encompassing the 720th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000521>	"The time period encompassing the 410th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000648>	"The time period encompassing the 537th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000443>	"The time period encompassing the 332nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000611>	"The time period encompassing the 500th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000823>	"C. elegans life stage classified by the number of cells in the organism."	
<http://purl.obolibrary.org/obo/WBls_0000351>	"The time period encompassing the 240th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000298>	"The time period encompassing the 187th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000141>	"The time period encompassing the 30th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000123>	"The time period encompassing the 12nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000494>	"The time period encompassing the 383rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000592>	"The time period encompassing the 481st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000272>	"The time period encompassing the 161st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000291>	"The time period encompassing the 180th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000687>	"The fifth sub-stage of the L4 larva. utse is visible as a thin layer separating the vulval and uterine lumens. 'Fingers' are formed at the sides of the vulva next to vulB1 and vulB2. The uterine lumen is fully distended. At 20 Centigrade: 39.0 hours after hatching, 5.0 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000638>	"The time period encompassing the 527th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000011>	"The C. elegans life stage spanning 120-135 min after first cleavage at 20 Centigrade. Contains 51 cells."	
<http://purl.obolibrary.org/obo/WBls_0000461>	"The time period encompassing the 350th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000058>	"Very young adult hermaphrodites that do not have eggs in the uterus yet. At 20 Centigrade: 0 - 13 hours after L4-adult molt. 3 days after first cleaveage."	
<http://purl.obolibrary.org/obo/WBls_0000002>	"All C. elegans development stages, including embryo, larva and adult stage."	
<http://purl.obolibrary.org/obo/WBls_0000219>	"The time period encompassing the 108th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000609>	"The time period encompassing the 498th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000361>	"The time period encompassing the 250th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000484>	"The time period encompassing the 373rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000048>	"The stage during L2d-dauer molt, after the brief lethargus period, when an animal sheds off old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000213>	"The time period encompassing the 102nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000470>	"The time period encompassing the 359th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000326>	"The time period encompassing the 215th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/GO_0016301>	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	"Reactome:R-HSA-6788855 Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/WBls_0000383>	"The time period encompassing the 272nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000558>	"The time period encompassing the 447th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000815>	"A C. elegans life stage that occurs during the enclosing embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000370>	"The time period encompassing the 259th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000807>	"A C. elegans life stage that occurs during the 2-fold embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000546>	"The time period encompassing the 435th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000499>	"The time period encompassing the 388th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000314>	"The time period encompassing the 203rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000440>	"The time period encompassing the 329th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000079>	"The first stage larva."	
<http://purl.obolibrary.org/obo/WBls_0000828>	"A C. elegans L4 larval life stage that occurs after the animal has recovered from the dauer diapause."	
<http://purl.obolibrary.org/obo/WBls_0000320>	"The time period encompassing the 209th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000541>	"The time period encompassing the 430th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000493>	"The time period encompassing the 382nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000478>	"The time period encompassing the 367th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000346>	"The time period encompassing the 235th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000516>	"The time period encompassing the 405th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000528>	"The time period encompassing the 417th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000014>	"The C. elegans life stage spanning 210-350min after first cleavage at 20 Centigrade. Proliferate from 421 cells to 560 cells. The stage before the fast cleavage of cells finishes."	
<http://purl.obolibrary.org/obo/WBls_0000257>	"The time period encompassing the 146th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000423>	"The time period encompassing the 312nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000060>	"Adult hermaphrodites continuously laying fertilized eggs. Hermaphrodite in egg laying stages--usually up to 4/5 days after L4-adult molt at Centigrade. From the first fertilized egg is laid, till all sperms are used. At 20 Centigrade: 13 hours after L4-adult molt until about 5.4 days after the L4-adult molt. 3-8.4 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000398>	"The time period encompassing the 287th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000266>	"The time period encompassing the 155th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000811>	"A C. elegans life stage that occurs during the fully-elongating embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000027>	"The second stage larva. At 25 Centigrade, it ranges 25.5-32.5 hours after fertilization, 11.5-18.5 hours after hatch."	
<http://purl.obolibrary.org/obo/WBls_0000369>	"The time period encompassing the 258th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000202>	"The time period encompassing the 91st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000582>	"The time period encompassing the 471st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000483>	"The time period encompassing the 372nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000658>	"The time period encompassing the 547th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000731>	"L2 larvae that develops from the L1 larvae in the arthropod vector."	
<http://purl.obolibrary.org/obo/WBls_0000526>	"The time period encompassing the 415th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000538>	"The time period encompassing the 427th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000505>	"The time period encompassing the 394th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000676>	"At 20 Centigrade: 20-21 days after L4-adult molt. 23-24 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000722>	"OBSOLETE. An adult life-stage of a soil-transmitted nematode such as Trichuris sp. in which the anterior portion (whip-like end) is threaded into the tissue mucosa and the posterior of the male and female worms emerges free into the intestinal lumen to facilitate feeding, mating, and subsequent egg deposition."	
<http://purl.obolibrary.org/obo/WBls_0000631>	"The time period encompassing the 520th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000018>	"The C. elegans life stage spanning 420-460min after first cleavage at 20 Centigrade. Cell number remains at ~560 cells, with some new cells generated and some cells go through programmed cell death. The shape of embryo is elongated and fold back 50%. A stage between comma embryo and 2-fold embryo."	
<http://purl.obolibrary.org/obo/WBls_0000089>	"P4 and M cells have finished migrating. Contains 190 cells."	
<http://purl.obolibrary.org/obo/WBls_0000334>	"The time period encompassing the 223rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000164>	"The time period encompassing the 53rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000508>	"The time period encompassing the 397th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000129>	"The time period encompassing the 18th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000267>	"The time period encompassing the 156th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000458>	"The time period encompassing the 347th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000621>	"The time period encompassing the 510th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000446>	"The time period encompassing the 335th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000195>	"The time period encompassing the 84th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000133>	"The time period encompassing the 22nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000301>	"The time period encompassing the 190th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000074>	"At 20 Centigrade: 11-15 days after L4-adult molt. 14-18 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000047>	"The stage during L2-L3 molt, after the brief lethargus period, when an animal sheds off old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000276>	"The time period encompassing the 165th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000412>	"The time period encompassing the 301st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000013>	"The C. elegans life stage spanning 290-350min after first cleavage at 20 Centigrade. Proliferate from 421 cells to 560 cells. The stage when embryo just finished gastrulation and is enclosing."	
