?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/WBls_0000705>	<http://www.w3.org/2000/01/rdf-schema#label>	"Platyhelminthes egg"	
<http://purl.obolibrary.org/obo/WBls_0000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"14-cell embryo Ce"	
<http://purl.obolibrary.org/obo/WBls_0000158>	<http://www.w3.org/2000/01/rdf-schema#label>	"47 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000389>	<http://www.w3.org/2000/01/rdf-schema#label>	"278 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000375>	<http://www.w3.org/2000/01/rdf-schema#label>	"264 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000814>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during gastrulation"@en	
<http://purl.obolibrary.org/obo/WBls_0000455>	<http://www.w3.org/2000/01/rdf-schema#label>	"344 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000686>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4.3 larva Ce"	
<http://purl.obolibrary.org/obo/WBls_0000672>	<http://www.w3.org/2000/01/rdf-schema#label>	"8-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000070>	<http://www.w3.org/2000/01/rdf-schema#label>	"7-10 days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000144>	<http://www.w3.org/2000/01/rdf-schema#label>	"33 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000721>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete nematode adult intestinal stage"	
<http://purl.obolibrary.org/obo/WBls_0000729>	<http://www.w3.org/2000/01/rdf-schema#label>	"Strongyloides free living adult female"	
<http://purl.obolibrary.org/obo/WBls_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"113 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000062>	<http://www.w3.org/2000/01/rdf-schema#label>	"post-reproductive stage adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000293>	<http://www.w3.org/2000/01/rdf-schema#label>	"182 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000328>	<http://www.w3.org/2000/01/rdf-schema#label>	"217 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000441>	<http://www.w3.org/2000/01/rdf-schema#label>	"330 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000559>	<http://www.w3.org/2000/01/rdf-schema#label>	"448 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000589>	<http://www.w3.org/2000/01/rdf-schema#label>	"478 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000278>	<http://www.w3.org/2000/01/rdf-schema#label>	"167 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000105>	<http://www.w3.org/2000/01/rdf-schema#label>	"nematode larval stage"	
<http://purl.obolibrary.org/obo/WBls_0000336>	<http://www.w3.org/2000/01/rdf-schema#label>	"225 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000174>	<http://www.w3.org/2000/01/rdf-schema#label>	"63 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"464 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000391>	<http://www.w3.org/2000/01/rdf-schema#label>	"280 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000209>	<http://www.w3.org/2000/01/rdf-schema#label>	"98 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000047>	<http://www.w3.org/2000/01/rdf-schema#label>	"L2-L3 ecdysis Ce"	
<http://purl.obolibrary.org/obo/WBls_0000160>	<http://www.w3.org/2000/01/rdf-schema#label>	"49 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000827>	<http://www.w3.org/2000/01/rdf-schema#label>	"post dauer stage Ce"@en	
<http://purl.obolibrary.org/obo/WBls_0000503>	<http://www.w3.org/2000/01/rdf-schema#label>	"392 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000734>	<http://www.w3.org/2000/01/rdf-schema#label>	"Onchocerca L3 larva in vitro cultured D1"	
<http://purl.obolibrary.org/obo/WBls_0000572>	<http://www.w3.org/2000/01/rdf-schema#label>	"461 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000720>	<http://www.w3.org/2000/01/rdf-schema#label>	"metacercarium"	
<http://purl.obolibrary.org/obo/WBls_0000187>	<http://www.w3.org/2000/01/rdf-schema#label>	"76 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000805>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during elongating embryo"@en	
<http://purl.obolibrary.org/obo/WBls_0000349>	<http://www.w3.org/2000/01/rdf-schema#label>	"238 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000670>	<http://www.w3.org/2000/01/rdf-schema#label>	"6-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000588>	<http://www.w3.org/2000/01/rdf-schema#label>	"477 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000712>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cestoda life stage"	
<http://purl.obolibrary.org/obo/WBls_0000091>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brugia life stage"	
<http://purl.obolibrary.org/obo/WBls_0000118>	<http://www.w3.org/2000/01/rdf-schema#label>	"7 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000104>	<http://www.w3.org/2000/01/rdf-schema#label>	"nematode adult"	
<http://purl.obolibrary.org/obo/WBls_0000335>	<http://www.w3.org/2000/01/rdf-schema#label>	"224 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000173>	<http://www.w3.org/2000/01/rdf-schema#label>	"62 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000222>	<http://www.w3.org/2000/01/rdf-schema#label>	"111 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000601>	<http://www.w3.org/2000/01/rdf-schema#label>	"490 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"285 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000609>	<http://www.w3.org/2000/01/rdf-schema#label>	"498 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000238>	<http://www.w3.org/2000/01/rdf-schema#label>	"127 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000469>	<http://www.w3.org/2000/01/rdf-schema#label>	"358 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000821>	<http://www.w3.org/2000/01/rdf-schema#label>	"C. elegans life stage occurring during L4 larval stage"@en	
<http://purl.obolibrary.org/obo/WBls_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"2-cell embryo Ce"	
<http://purl.obolibrary.org/obo/WBls_0000076>	<http://www.w3.org/2000/01/rdf-schema#label>	"Strongyloides life stage"	
<http://purl.obolibrary.org/obo/WBls_0000299>	<http://www.w3.org/2000/01/rdf-schema#label>	"188 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000452>	<http://www.w3.org/2000/01/rdf-schema#label>	"341 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000532>	<http://www.w3.org/2000/01/rdf-schema#label>	"421 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000614>	<http://www.w3.org/2000/01/rdf-schema#label>	"503 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"proliferating embryo Ce"	
<http://purl.obolibrary.org/obo/WBls_0000221>	<http://www.w3.org/2000/01/rdf-schema#label>	"110 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000301>	<http://www.w3.org/2000/01/rdf-schema#label>	"190 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000606>	<http://www.w3.org/2000/01/rdf-schema#label>	"495 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000630>	<http://www.w3.org/2000/01/rdf-schema#label>	"519 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000741>	<http://www.w3.org/2000/01/rdf-schema#label>	"Onchocerca life stage"	
<http://purl.obolibrary.org/obo/WBls_0000089>	<http://www.w3.org/2000/01/rdf-schema#label>	"190-cells embryo Ce"	
